#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/
#dcterms:license: CC-0
#version: 2.0.0
#creator_id:
#  - https://orcid.org/0000-0002-3237-4547
#  - https://orcid.org/0000-0002-4366-3088
#  - https://orcid.org/0000-0002-8083-6048
#  - https://orcid.org/0000-0001-9625-1899
#  - https://orcid.org/0000-0001-7087-2646
#  - https://orcid.org/0000-0002-2996-719X
#  - https://orcid.org/0000-0002-6601-2165
#  - https://orcid.org/0000-0002-4236-0384
#  - https://orcid.org/0000-0001-6215-3617
#  - https://orcid.org/0000-0003-1691-239X
#  - https://orcid.org/0000-0001-9401-8460
#  - https://orcid.org/0000-0003-3770-3714
#  - https://orcid.org/0000-0001-8815-0078
#  - https://orcid.org/0000-0003-1144-0290
#creator_name:
#  - Ward Appeltans
#  - Pier Luigi Buttigieg
#  - Mariya Dimitrova
#  - Willam D. Duncan
#  - Yi-Ming Gan
#  - Raïssa Meyer
#  - Christopher Mungall
#  - Pieter Provoost
#  - Tim Robertson
#  - Thomas Stjernegaard Jeppesen
#  - Saara Suominen
#  - Maxime Sweetlove
#  - Ramona L. Walls
#  - John Wieczorek
#curie_map:
#  - dwc: http://rs.tdwg.org/dwc/terms/
#  - dwcversion: http://rs.tdwg.org/dwc/terms/version/
#  - dcterms: http://purl.org/dc/terms/
#  - dcversion: http://dublincore.org/usage/terms/history/
#  - MIXS: https://w3id.org/mixs/
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs-legacy/blob/master/mixs5/
#  - orcid: https://orcid.org/
#  - skos: http://www.w3.org/2004/02/skos/core
subject_id	subject_label	subject_category	syntax_predicate_id	object_id	object_label	object_category	match_type	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	syntax_comment
dwc:associatedOrganisms	Associated Organisms	http://rs.tdwg.org/dwc/terms/Organism	skos:relatedMatch	MIXS:0000028	biotic_relationship	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:associatedOrganisms	dwcversion:associatedOrganisms-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-16	1	Both fields accept numbers, letters, and special characters. DwC expects a list of terms and corresponding identifiers, linked with colons and both in quotation marks (quoted strings). The MIxS term expects a string (which could also include special characters and numbers - ref candidate phyla names).
dwc:samplingProtocol	Sampling Protocol	http://rs.tdwg.org/dwc/terms/Event	skos:relatedMatch	MIXS:0000002	samp_collect_device	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:samplingProtocol	dwcversion:samplingProtocol-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-16	1	DwC expects the name of, reference to, or description (which could also include a URI, IRI, etc.), while MIxS expects free text (or any other string-based value) as syntax. The DwC description may actively call for higher diversity of strings, the MIxS term is too loosely defined to narrow down the expected diversity of stings either. Following the same logic as with the dwC:verbatim fields, we are using relatedMatch to map the two terms to one another.
dwc:samplingProtocol	Sampling Protocol	http://rs.tdwg.org/dwc/terms/Event	skos:relatedMatch	MIXS:0000016	samp_mat_process	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:samplingProtocol	dwcversion:samplingProtocol-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-16	1	DwC expects the name of, reference to, or description (which could also include a URI, IRI, etc.), while MIxS expects terms from an ontology where appropriate, for which the input would not only be a word but a termLabel[termID] combination
dwc:sampleSizeValue	Sample Size Value	http://rs.tdwg.org/dwc/terms/Event	skos:broadMatch	MIXS:0000001	samp_size	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid: 0000-0002-2996-719X | orcid:0000-0002-4366-3088	dwc:sampleSizeValue	dwcversion:sampleSizeValue-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2022-04-12	1	MIxS expects {float} {unit}, while DwC only expects {float}
dwc:sampleSizeUnit	Sample Size Unit	http://rs.tdwg.org/dwc/terms/Event	skos:broadMatch	MIXS:0000001	samp_size	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid: 0000-0002-2996-719X | orcid:0000-0002-4366-3088	dwc:sampleSizeUnit	dwcversion:sampleSizeUnit-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2022-04-12	1	MIxS expects {float} {unit}, while DwC only expects {unit}
dcterms:references	References	https://dwc.tdwg.org/list/#dcterms_references	skos:relatedMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0003-1144-0290 | orcid:0000-0002-4366-3088	dcterms:references	dcversion:#references-003	MIXSversion:mixs_v5.xlsx	5	2022-04-12	1	The DwC field also accepts non-URL identifiers, while MIxS only accepts URLs.
dwc:associatedMedia	Associated Media	https://dwc.tdwg.org/list/#dwc_Occurrence	skos:relatedMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0002-2996-719X | orcid:0000-0002-4366-3088	dwc:associatedMedia	dwcversion:associatedMedia-2020-08-12	MIXSversion:mixs_v5.xlsx	5	2022-04-12	1	The DwC field also accepts non-URL identifiers, while MIxS only accepts URLs.
dwc:associatedOccurrences	Associated Occurrences	https://dwc.tdwg.org/list/#dwc_Organism	skos:relatedMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0002-2996-719X | orcid:0000-0002-4366-3088	dwc:associatedOccurrences	dwcversion:associatedOccurrences-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2022-04-12	1	The DwC field also accepts non-URL identifiers, while MIxS only accepts URLs.
dwc:associatedOrganisms	Associated Organisms	https://dwc.tdwg.org/list/#dwc_Organism	skos:relatedMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:associatedOrganisms	dwcversion:associatedOrganisms-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-12	1	The DwC term expects a link as well as text about the type of association, whereas MIxS only expects a URL.
dwc:associatedReferences	Associated References	https://dwc.tdwg.org/list/#dwc_Occurrence	skos:relatedMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:associatedReferences	dwcversion:associatedReferences-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-12	1	The DwC would expect a comma separated list of citations, URIs, etc., thus accepting non-URL identifiers, while MIxS only accepts URLs.
dwc:associatedSequences	Associated Sequences	https://dwc.tdwg.org/list/#dwc_Occurrence	skos:relatedMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0002-2996-719X | 0000-0002-4366-3088	dwc:associatedSequences	dwcversion:associatedSequences-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2022-04-12	1	The DwC field also accepts non-URL identifiers, while MIxS only accepts URLs.
dwc:associatedTaxa	Associated Taxa	https://dwc.tdwg.org/list/#dwc_Occurrence	skos:relatedMatch	MIXS:0000091	url	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:associatedTaxa	dwcversion:associatedTaxa-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-12	1	The DwC term would expect a list of IDs (could be links) or names, while MIxS expects URLs only.
